0,16,64,1087143,145835,23060,12336,16647,8959,1866,1573
0,10,64,1299638,111567,19245,35730,8080,5085,6196,4691
0,20,57,1311757,97285,3073,42401,27794,7724,3012,1018
0,4,23,533866,113228,6199,4131,9977,5216,1815,1093
0,3,41,165865,34841,20541,26672,10785,3360,2054,1143
0,7,38,218355,86790,24965,10754,7618,4423,608,280
26,7,38,597884,7771,4555,3979,2004,955,721,312
0,14,47,243894,8206,6053,1786,2763,1865,375,161
0,30,74,88115,5303,3320,3876,1961,2112,247,340
0,29,60,1669719,55686,21819,4249,8581,2372,1581,1487
0,41,69,162386,59016,5505,75973,20114,14754,4966,5975
0,24,50,327365,324729,19763,14005,11406,8361,1693,736
0,13,29,991693,97079,6302,10746,20900,7348,560,739
0,16,38,1375501,38471,17011,21307,8774,3376,928,851
0,4,34,2424656,155894,62659,27867,23637,10709,4647,3254
0,10,57,911761,36031,28097,28463,14656,3508,3379,1699
0,13,75,481230,10420,5978,4538,6341,1886,1169,886
0,21,64,1739824,73898,14003,14999,7974,8778,2340,1126
0,11,51,517706,472915,84271,4232,34319,10630,3577,1790
0,24,41,1790761,168233,6014,85853,23226,29505,3787,3830
0,13,41,694065,86949,26577,33779,24411,4851,1572,790
0,3,50,1950322,38548,17558,12496,3094,2823,488,2317
0,13,57,266306,44457,13016,10073,15654,3066,2423,1437
0,8,60,71472,27609,5695,9221,1381,3388,2370,1117
0,10,60,3362893,248330,155716,14729,46821,14965,8216,11104
0,16,48,88935,28394,6909,3083,8069,2646,564,810
0,26,66,819169,34529,30318,46376,3424,10091,8971,14180
0,14,61,1126993,546079,87737,98706,53009,25834,14189,17258
0,29,51,1522073,46948,7001,7963,7271,8179,6321,8559
0,40,44,734325,520055,51430,44595,30480,93050,38485,41346
0,43,26,959533,167106,61562,26527,49375,30254,20020,28450
0,63,30,631511,66007,36551,9203,13713,20926,22977,9738
0,51,23,41669,74131,4919,4296,7300,3712,7745,6662
0,51,23,2822434,385085,39005,40028,28931,74112,20540,25853
0,48,29,1713706,21255,4340,12379,7444,3412,2753,4266
0,44,38,464122,45193,52828,17712,15060,16003,11630,6191
0,60,61,684992,20615,37377,29637,54804,13897,10532,9071
0,66,61,513492,56889,10750,8447,39600,22306,9948,7233
0,75,60,299674,43024,2856,33546,18189,14649,10948,6789
0,78,47,1701038,60205,12176,17452,27930,15024,5107,9712
0,66,27,97939,67008,11008,2296,4287,4375,2406,2527
0,61,23,518716,30458,3221,1004,4662,7089,2156,2000
0,75,21,706241,45125,12951,24020,9686,45129,7153,5018
0,70,17,177338,58642,7347,15262,33572,10814,6127,9308
0,57,24,13322,43594,7633,6379,2590,1141,1111,2276
0,48,43,744844,63135,11869,26930,9615,8985,11821,17797
0,44,43,122522,37343,13682,15385,9868,27449,16480,10261
0,44,44,233995,8043,375,3254,2919,1653,534,710
0,56,34,1778745,1125987,52360,70862,60374,57755,31529,19920
0,53,13,1021322,193017,12869,5801,8346,15359,7122,5487
0,40,3,453424,30018,7031,1496,19209,4182,3133,1869
0,47,1,51952,18082,2316,2224,1730,5859,1978,2850
0,74,11,5352,6464,3350,1848,2934,5616,3070,1353
0,81,35,75498,31003,14900,21983,13706,9938,13493,9224
0,64,35,36471,74876,1147,12788,7257,2442,1473,1121
0,43,27,1166699,174964,7006,10114,8146,8149,6598,9606
0,27,27,18205,7499,1139,4663,8127,1699,2374,452
0,24,21,305972,82245,25344,17578,8200,12308,12171,4032
0,56,37,104614,11414,7527,15270,12313,14273,5178,5263
0,63,48,70269,72875,7784,16732,13859,7454,8149,7802
0,61,40,21169,19673,2619,1560,3772,2936,1176,1213
0,60,21,357401,163879,10506,4726,16819,12851,10033,5444
0,47,20,113431,9810,5243,2910,3767,2187,2197,2192
0,54,20,49520,55255,4804,12577,5286,12708,4084,6643
0,51,43,8011,14550,5294,29587,9196,4176,8483,5404
0,63,48,5732,21850,2582,1857,4517,5345,1776,2131
0,47,54,26197,74234,56242,19876,14326,4589,4158,3747
0,48,63,16249,11160,7710,4439,5144,5428,1237,1591
0,57,48,504282,80911,10924,22123,5663,22085,5380,10782
0,50,53,31817,20555,3320,1813,873,2793,951,869
0,74,40,265352,75647,18683,10117,23077,20054,12442,5606
0,57,30,138079,38101,8000,3462,2127,3466,1625,1125
0,56,40,49903,23659,9711,24046,16203,10332,8769,4149
0,69,41,130316,85814,14324,23594,25948,38851,12631,5965
0,70,38,701431,60968,13194,10781,37607,16991,8812,3236
0,88,38,16518,38030,1451,16712,14244,15496,6452,4697
0,81,43,189218,48488,45279,33174,6411,12493,11805,10343
0,67,27,2297,22568,890,1339,4199,2774,2654,870
0,81,30,46099,5818,2304,2650,6749,7196,3069,1770
0,84,47,40328,10813,13680,19954,10787,18680,8371,1880
0,78,38,216503,106919,32133,33628,8638,10813,8725,3416
0,70,66,575861,19488,15173,8747,4579,2799,1650,830
0,47,66,33256,120262,23000,14899,14187,11591,8205,2894
0,34,48,37871,62008,13381,1944,11089,12103,7764,3769
0,40,40,146806,120372,25953,14797,16891,17937,4438,2139
0,53,24,2091306,131432,35633,12128,37065,34570,2718,1715
0,63,21,278495,90542,7210,16738,7016,17077,8000,4344
0,60,26,2162824,239416,23127,57989,33691,37598,11028,28056
0,54,35,99271,10594,4801,2475,1778,1196,660,417
26,54,35,1009725,95988,44169,49986,80357,24700,15117,3694
51,54,35,1650116,97779,34905,26712,4164,64457,3338,1917
0,41,27,1428253,234480,11931,31308,50258,19166,27107,11659
0,30,40,153989,15045,6604,5106,4530,1812,1798,1744
0,20,43,640559,37860,1271,13557,6561,2532,4024,1409
